,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
214,exp18_LNP_CR.czi,10,1488059,8489200,44552597,54454,11225,431.7307692307692,0.206137290189885,0.0075433836964797,296,26
215,exp18_LNP_CR.czi,11,2048341,3681808,13093592,325944,254,28.22222222222222,0.000779274967479,0.0001240027905509,52,9
216,exp19_APOE.czi,0,84325,7927861,37878097,12442,1075,43.0,0.0864009001768204,0.0127482952860954,244,25
217,exp19_APOE.czi,1,66926,6193621,26790880,6343,1430,75.26315789473684,0.2254453728519627,0.0213668828258076,286,19
218,exp19_APOE.czi,2,76681,3332569,3332726,936,176,44.0,0.188034188034188,0.0022952230669918,56,4
219,exp19_APOE.czi,3,63514,5227528,19364667,4936,314,22.428571428571427,0.0636142625607779,0.0049437919198916,128,14
220,exp19_APOE.czi,4,72534,6351710,21121361,4686,831,51.9375,0.1773367477592829,0.0114566961700719,218,16
221,exp19_APOE.czi,5,80000,3902284,4530842,929,176,44.0,0.1894510226049515,0.0022,70,4
222,exp19_APOE.czi,6,76713,6995041,38636427,11407,738,25.448275862068964,0.0646971158060839,0.0096202729654686,169,29
223,exp19_APOE.czi,7,52173,2638146,2873473,589,18,9.0,0.030560271646859,0.0003450060376056,7,2
224,exp19_APOE.czi,8,92033,4790135,14350106,7448,343,22.866666666666667,0.0460526315789473,0.0037269240381167,123,15
225,exp19_APOE.czi,9,72502,6480701,39182175,7476,365,17.38095238095238,0.0488228999464954,0.0050343438801688,118,21
226,exp19_APOE.czi,10,95758,7728795,23139354,6826,1070,46.52173913043478,0.156753589217697,0.0111740011278431,354,23
227,exp19_APOE.czi,11,131959,4213855,8663735,2539,299,42.714285714285715,0.1177628987790468,0.0022658553035412,53,7
228,exp20_VTN.czi,0,48697,4100544,10073403,3257,141,12.818181818181818,0.0432913724286152,0.0028954555722118,49,11
229,exp20_VTN.czi,1,47180,3303048,7386520,2462,51,12.75,0.020714865962632,0.0010809665112335,25,4
230,exp20_VTN.czi,2,64893,4086566,9624824,2605,145,29.0,0.055662188099808,0.0022344474750743,87,5
231,exp20_VTN.czi,3,55894,5251666,25420929,6154,309,19.3125,0.050211244718882,0.0055283214656313,92,16
232,exp20_VTN.czi,4,72844,5964478,24812447,9823,749,34.04545454545455,0.0762496182428993,0.0102822469935753,156,22
233,exp20_VTN.czi,5,77160,6051812,21415977,4572,777,55.5,0.1699475065616797,0.0100699844479004,215,14
234,exp20_VTN.czi,6,72070,6282325,40332805,14830,615,34.166666666666664,0.0414699932569116,0.0085333703343971,166,18
235,exp20_VTN.czi,7,57293,3287242,5045311,3726,904,226.0,0.2426194310252281,0.0157785418812071,51,4
236,exp20_VTN.czi,8,56557,3516976,9894913,3994,129,16.125,0.0322984476715072,0.0022808847711158,44,8
237,exp20_VTN.czi,9,69146,6018394,23707418,5268,962,50.63157894736842,0.1826119969627942,0.0139125907500072,181,19
238,exp20_VTN.czi,10,84104,5445407,20115402,5185,1602,123.23076923076924,0.3089681774349084,0.0190478455245886,202,13
239,exp20_VTN.czi,11,71705,3693837,11396140,3321,91,10.11111111111111,0.0274013851249623,0.0012690886270134,38,9
240,exp21_A2M.czi,0,81284,5939198,32389490,12977,652,32.6,0.0502427371503429,0.008021258796319,166,20
241,exp21_A2M.czi,1,39558,3920620,8698843,1288,152,19.0,0.1180124223602484,0.0038424591738712,69,8
242,exp21_A2M.czi,2,46799,3200985,4024019,652,449,224.5,0.6886503067484663,0.0095942220987627,61,2
243,exp21_A2M.czi,3,64867,7367122,44872592,9486,707,22.806451612903224,0.0745308876238667,0.0108992245671913,216,31
244,exp21_A2M.czi,4,55865,5925925,21147821,3956,266,22.166666666666668,0.0672396359959555,0.0047614785643963,179,12
245,exp21_A2M.czi,5,61376,3170126,4588946,743,31,15.5,0.0417227456258411,0.0005050834202294,16,2
246,exp21_A2M.czi,6,65009,7058071,38040890,8862,397,15.88,0.0447980139923267,0.0061068467442969,160,25
247,exp21_A2M.czi,7,53212,4247535,18753500,4197,514,39.53846153846154,0.1224684298308315,0.0096594753063218,95,13
248,exp21_A2M.czi,8,81260,6661396,24416812,7057,8536,776.0,1.2095791412781636,0.1050455328574944,489,11
249,exp21_A2M.czi,9,78915,6105339,30172786,12175,788,30.307692307692307,0.0647227926078028,0.0099854273585503,78,26
